"CD_MUNICIPIO","COUNT(1)"
511,17915
512,14080
522,54697
513,9027
722,625
734,2480
534,1206
535,1447
663,1429
781,956
510,6968
592,1131
763,992
774,655
648,338
786,438
754,530
706,2861
690,2315
667,390
902,1
504,46568
544,1139
795,40389
525,18677
660,3423
531,1297
705,10673
756,599
528,11438
712,1167
509,10603
611,2567
612,3288
798,2240
594,1186
536,1668
569,2720
556,1679
567,2463
693,849
736,1191
772,469
589,6926
655,1748
543,1657
691,3584
637,1001
665,305
605,625
903,1
901,7
588,860
638,14911
631,4035
564,3507
662,2033
668,2822
577,992
574,1525
711,601
688,1404
595,1614
771,394
787,2064
598,1808
571,2131
586,1601
596,2978
732,729
759,1486
701,5993
617,1352
784,900
546,609
654,1700
745,840
635,1
905,1
559,1851
675,6774
599,5745
796,37032
723,600
614,3870
602,7732
646,3528
713,1789
664,4776
526,25463
552,573
779,878
565,1079
636,854
735,1065
747,561
674,1205
551,2654
704,5268
714,771
657,2932
608,3
597,1884
545,3131
650,482
613,454
652,681
572,4213
639,5944
516,3319
656,22782
743,639
570,13473
802,2888
621,667
644,3158
584,2221
716,1215
603,1006
680,4187
697,364
761,401
791,797
783,552
550,988
773,590
696,1013
677,362
751,7042
715,251
573,1041
748,593
764,495
604,697
799,407
908,1
523,3178
506,61601
553,7613
519,4229
633,2522
532,1570
541,16411
789,455
540,2606
672,718
619,8146
530,3272
698,8336
683,4593
630,2235
610,17657
618,2032
529,3974
640,921
689,2292
661,859
767,197
709,424
681,4479
658,871
694,1041
731,440
524,2800
533,1262
514,61301
593,23649
641,1337
615,1705
538,2135
721,512
609,602
575,3254
758,276
560,3281
730,600
537,393
776,1080
800,405
752,12538
527,17442
777,778
624,2365
653,1345
684,1908
785,512
517,19156
626,1444
760,423
651,2646
623,1174
669,2829
643,1560
755,428
645,327
616,554
548,1914
547,1136
717,379
728,440
803,392
804,456
907,3
