"CD_MUNICIPIO","DATA_EXECUCAO"
571,2025-07-01 14:46:05.000
571,2024-11-06 09:09:50.000
571,2024-11-05 11:21:39.000
571,2024-12-11 14:56:06.000
571,2024-11-27 09:28:24.000
571,2024-11-27 09:47:10.000
571,2024-11-26 14:36:55.000
571,2024-12-11 14:24:59.000
571,2024-12-11 13:59:02.000
571,2025-01-15 09:49:32.000
571,2025-03-18 09:48:10.000
571,2024-12-11 15:11:03.000
571,2024-12-10 11:13:47.000
571,2025-02-12 11:32:17.000
571,2024-12-11 16:42:25.000
571,2025-03-18 13:21:26.000
571,2025-03-19 16:58:50.000
571,2024-12-11 15:25:03.000
571,2025-01-15 09:26:28.000
571,2025-04-16 13:28:12.000
571,2025-04-16 09:25:39.000
571,2024-12-11 12:12:56.000
571,2025-03-19 10:19:11.000
571,2025-02-12 10:13:50.000
571,2025-03-18 10:04:33.000
571,2025-04-23 15:30:42.000
571,2025-04-23 13:47:05.000
571,2025-04-16 13:31:08.000
571,2025-04-23 11:07:59.000
571,2025-04-23 13:44:34.000
571,2025-04-23 14:04:19.000
571,2024-11-27 09:53:12.000
571,2025-02-12 13:49:17.000
571,2025-03-18 10:35:06.000
571,2025-03-19 16:09:44.000
571,2024-12-10 09:21:03.000
571,2025-02-11 10:54:59.000
571,2025-09-01 15:25:14.000
571,2025-05-29 15:03:33.000
571,2025-05-29 15:51:46.000
571,2025-04-16 10:21:36.000
571,2025-03-18 10:15:58.000
571,2025-02-11 08:02:31.000
571,2025-05-29 14:26:12.000
571,2025-07-15 10:26:33.000
571,2025-07-15 09:19:49.000
571,2025-07-01 08:29:37.000
571,2025-06-12 10:50:06.000
571,2025-07-15 14:41:52.000
571,2025-05-08 08:17:35.000
571,2025-06-12 11:04:27.000
571,2025-08-26 09:31:17.000
571,2025-08-26 11:41:01.000
571,2025-07-15 10:43:14.000
571,2025-10-07 08:46:22.000
571,2025-09-01 16:53:28.000
571,2025-10-07 08:58:43.000
571,2025-09-01 16:34:14.000
571,2025-08-26 10:46:20.000
571,2025-09-01 14:21:26.000
571,2025-10-07 08:10:34.000
571,2025-05-29 13:40:53.000
571,2024-11-27 14:17:37.000
571,2025-01-16 13:24:07.000
571,2025-01-16 15:09:42.000
571,2025-02-11 10:34:57.000
571,2024-11-27 14:04:01.000
571,2025-01-16 15:27:42.000
571,2025-01-16 13:59:36.000
571,2025-08-26 11:24:41.000
571,2025-05-29 09:36:53.000
571,2025-02-11 10:15:45.000
571,2024-12-11 10:26:54.000
571,2024-11-27 14:00:56.000
571,2025-01-16 14:27:47.000
571,2025-07-01 09:20:10.000
571,2024-11-06 08:40:50.000
571,2024-12-11 10:04:04.000
571,2025-01-16 13:40:26.000
571,2025-01-16 16:31:04.000
571,2025-01-16 14:13:53.000
571,2025-01-16 14:49:20.000
571,2025-04-16 09:47:31.000
571,2025-07-15 13:33:39.000
571,2025-07-15 11:21:30.000
571,2025-07-15 10:07:57.000
571,2025-07-01 08:51:27.000
571,2025-07-01 09:23:47.000
571,2025-07-01 14:25:52.000
571,2025-08-01 10:40:22.000
571,2025-10-07 08:25:41.000
571,2025-01-15 14:26:08.000
571,2025-05-08 07:50:45.000
571,2025-01-15 14:47:51.000
571,2024-12-10 10:07:30.000
571,2024-12-10 09:45:14.000
571,2024-11-06 09:59:11.000
571,2025-03-18 09:28:00.000
571,2024-12-11 08:46:55.000
571,2024-11-05 10:49:01.000
571,2024-11-06 09:38:19.000
571,2025-03-18 09:01:49.000
571,2025-05-29 09:01:16.000
571,2025-05-29 13:28:42.000
571,2025-04-16 14:13:54.000
571,2024-12-11 08:30:59.000
571,2024-12-10 10:24:47.000
571,2024-12-10 10:28:17.000
571,2025-03-11 08:30:39.000
571,2025-05-08 08:36:21.000
571,2024-11-05 09:37:53.000
571,2024-11-05 10:04:55.000
571,2024-11-06 10:41:50.000
571,2025-02-11 09:34:36.000
571,2024-11-27 14:42:00.000
571,2024-11-05 10:19:15.000
571,2024-11-05 15:06:02.000
571,2024-11-26 08:49:28.000
571,2025-04-23 10:16:01.000
571,2025-02-12 08:17:34.000
571,2025-08-01 08:53:30.000
571,2025-01-15 10:35:53.000
571,2025-01-15 10:50:13.000
571,2025-04-23 09:57:08.000
571,2025-03-11 08:35:23.000
571,2025-04-16 13:58:28.000
571,2025-03-19 15:35:20.000
571,2025-04-16 10:43:11.000
571,2025-01-15 10:15:24.000
571,2025-03-19 15:13:59.000
571,2025-04-16 15:47:53.000
571,2025-03-19 09:58:47.000
571,2025-03-11 10:06:52.000
571,2025-02-12 07:54:02.000
571,2025-05-08 08:47:06.000
571,2025-05-08 09:49:29.000
571,2025-05-29 09:19:41.000
571,2025-05-29 08:33:18.000
571,2025-05-29 08:36:27.000
571,2025-07-01 07:59:28.000
571,2025-07-15 14:24:05.000
571,2025-08-26 09:08:11.000
571,2025-08-26 09:11:58.000
571,2025-09-01 13:54:19.000
571,2025-08-26 09:13:26.000
571,2025-08-26 12:57:48.000
571,2025-09-01 15:03:25.000
571,2025-09-01 14:34:36.000
571,2025-10-07 07:49:57.000
571,2024-11-06 15:27:43.000
571,2024-11-06 11:08:53.000
571,2024-11-26 09:50:01.000
571,2024-12-11 09:41:41.000
571,2024-11-26 09:27:30.000
571,2025-07-01 14:07:38.000
571,2025-06-12 12:20:01.000
571,2024-11-27 15:04:36.000
571,2025-03-19 13:59:04.000
571,2024-12-11 09:22:30.000
571,2025-01-15 13:56:22.000
571,2024-11-26 09:08:06.000
571,2025-03-19 14:51:08.000
571,2025-04-23 17:02:48.000
571,2025-03-19 14:20:27.000
571,2025-02-12 09:04:24.000
571,2025-04-23 13:23:57.000
571,2025-04-16 14:42:40.000
571,2024-11-26 10:08:00.000
571,2025-02-12 09:34:29.000
571,2025-07-15 14:05:00.000
571,2025-06-12 09:42:23.000
571,2025-07-15 08:57:12.000
571,2025-08-01 09:16:16.000
571,2025-10-07 11:14:32.000
571,2025-08-01 09:36:49.000
571,2025-03-19 11:18:05.000
571,2024-11-06 14:39:46.000
571,2024-11-06 15:09:44.000
571,2025-04-16 08:01:56.000
571,2025-04-16 08:43:10.000
571,2024-11-26 15:08:00.000
571,2024-12-10 08:40:22.000
571,2025-01-15 08:11:27.000
571,2024-11-26 15:41:14.000
571,2025-07-03 11:46:32.000
571,2024-12-10 14:48:40.000
571,2024-11-05 08:40:01.000
571,2024-11-05 09:04:44.000
571,2025-02-12 12:49:23.000
571,2025-01-15 08:32:54.000
571,2025-02-12 13:10:44.000
571,2025-01-15 07:41:27.000
571,2025-04-16 08:22:57.000
571,2024-12-10 15:02:42.000
571,2025-06-12 08:37:44.000
571,2025-06-12 08:11:52.000
571,2025-07-03 11:32:28.000
571,2025-07-01 15:13:00.000
571,2025-07-01 16:04:50.000
571,2025-07-15 15:58:06.000
571,2025-06-12 10:25:26.000
571,2025-08-01 08:07:34.000
571,2025-08-01 07:49:37.000
571,2025-06-12 08:54:15.000
571,2025-10-07 09:30:58.000
571,2024-12-10 14:19:05.000
571,2025-02-11 14:37:00.000
571,2024-12-10 14:03:18.000
571,2024-11-05 14:14:03.000
571,2024-11-05 14:25:41.000
571,2024-11-05 13:57:31.000
571,2025-02-11 16:13:26.000
571,2025-02-11 13:52:43.000
571,2025-07-01 10:15:12.000
571,2025-02-11 13:23:55.000
571,2025-03-18 13:45:06.000
571,2025-02-11 14:10:34.000
571,2024-11-06 14:06:55.000
571,2025-07-01 09:49:16.000
571,2025-02-11 13:33:01.000
571,2025-02-11 11:46:00.000
571,2025-02-11 11:40:36.000
571,2025-04-23 15:10:46.000
571,2025-03-18 14:16:54.000
571,2025-04-23 14:43:13.000
571,2025-03-18 15:44:38.000
571,2025-03-18 14:01:37.000
571,2025-05-29 10:01:50.000
571,2025-05-29 10:36:27.000
571,2025-05-29 10:26:32.000
571,2025-08-01 08:29:42.000
571,2025-05-29 08:02:25.000
571,2025-03-18 08:34:54.000
571,2025-04-23 09:18:07.000
571,2025-07-15 09:48:47.000
571,2025-07-15 09:51:29.000
571,2025-07-15 09:45:59.000
571,2025-01-15 08:57:59.000
571,2024-11-26 14:12:45.000
571,2024-11-27 09:02:37.000
571,2024-11-27 08:56:06.000
571,2025-07-01 17:24:03.000
571,2025-03-18 08:05:18.000
571,2024-12-11 07:39:49.000
571,2025-08-26 08:19:12.000
571,2025-04-23 08:04:41.000
571,2025-04-23 08:23:12.000
571,2025-04-23 08:52:22.000
571,2025-04-23 08:37:16.000
